# t, PosX, PosY, PosZ, VelX, VelY, VelZ
9.000000000000001055e-03 -1.200000706672507391e+02 -1.984194487690206920e-07 1.601073025735293642e+00 -1.122747871618041265e-02 -2.379413474068169210e-05 1.719821382931441267e-01
1.900000000000000994e-02 -1.200002038763072534e+02 -8.564642070759349637e-07 1.603019363046185974e+00 -1.412900596100023429e-02 -1.005614169757542738e-04 1.921002827108398148e-01
2.900000000000001882e-02 -1.200003389085819805e+02 -2.482157990002172640e-06 1.604548675164422455e+00 -1.280893382634492456e-02 -2.182028457709053737e-04 1.087995474192510748e-01
3.900000000000002770e-02 -1.200004579216105327e+02 -5.343344167141822078e-06 1.604877060279464418e+00 -1.109358283168078094e-02 -3.394456619475783076e-04 -3.378666065089122594e-02
4.900000000000003658e-02 -1.200005583911825227e+02 -9.273139122596246427e-06 1.603682240999636077e+00 -9.312780533507465305e-03 -4.318276412362220774e-04 -1.908409039452564349e-01
5.900000000000004546e-02 -1.200006460000233801e+02 -1.387956611214416242e-05 1.600891107799836677e+00 -8.378691767702631243e-03 -4.751353989835447808e-04 -3.505550615166227457e-01
6.900000000000004741e-02 -1.200007258544540463e+02 -1.851892447945193635e-05 1.596539883324028963e+00 -7.681710700966163166e-03 -4.426500312417313687e-04 -5.031167194394250419e-01
7.900000000000005629e-02 -1.200007991161252363e+02 -2.225675118463483852e-05 1.590704099613071687e+00 -7.021614730299041533e-03 -2.978831480099106773e-04 -6.482693309177441909e-01
8.900000000000006517e-02 -1.200008652825276414e+02 -2.383641253000265767e-05 1.583459361544285571e+00 -6.272838338980484506e-03 -2.550715161310745295e-05 -7.855874247443839220e-01
9.900000000000007405e-02 -1.200009234037466257e+02 -2.213022838496988485e-05 1.574886329749077385e+00 -5.411489641952326596e-03 3.451496760748210707e-04 -9.148485353607469506e-01
1.090000000000000829e-01 -1.200009721558009801e+02 -1.634222837020565727e-05 1.565059590352648744e+00 -4.422220103938077039e-03 7.753097627597008460e-04 -1.037238998463608342e+00
1.190000000000000918e-01 -1.200010106773775931e+02 -6.154964309652806982e-06 1.554040329967607104e+00 -3.385828852076182630e-03 1.215258566148665802e-03 -1.154123401105942026e+00
1.290000000000000868e-01 -1.200010390140395060e+02 8.252239016728135383e-06 1.541876722427785840e+00 -2.396548572576372681e-03 1.616463484889756660e-03 -1.266723609994812483e+00
1.390000000000000957e-01 -1.200010581450088267e+02 2.629300378400721656e-05 1.528605848239199094e+00 -1.543030903908963660e-03 1.944839757523564566e-03 -1.376043346108010379e+00
1.490000000000001046e-01 -1.200010697413137564e+02 4.712715202366492186e-05 1.514256546713393936e+00 -8.758127877953551105e-04 2.182720806617980715e-03 -1.482754615489296768e+00
1.590000000000001135e-01 -1.200010757520382469e+02 6.982944535093508337e-05 1.498852562531689747e+00 -4.050818310800214858e-04 2.328614728904377512e-03 -1.587248538392071362e+00
1.690000000000001223e-01 -1.200010780503987178e+02 9.353358401124795853e-05 1.482414763084112019e+00 -1.105263049735751534e-04 2.393802061454309519e-03 -1.689745639409292455e+00
1.790000000000001312e-01 -1.200010781990301894e+02 1.175314814277439668e-04 1.464962231387358038e+00 4.569085496426272125e-05 2.396982166867073303e-03 -1.790404687932195538e+00
1.890000000000001401e-01 -1.200010773455972952e+02 1.413177160102205309e-04 1.446512411685088484e+00 1.063750747161058309e-04 2.358942990414551310e-03 -1.889402697784952956e+00
1.990000000000001490e-01 -1.200010762274834946e+02 1.645858837279642309e-04 1.427080681383455563e+00 1.100268991325562169e-04 2.298388802488819053e-03 -1.986973248519728230e+00
2.090000000000001579e-01 -1.200010752453970326e+02 1.871940575777877359e-04 1.406679757560621358e+00 8.594678130182569278e-05 2.229730270354539183e-03 -2.083406654655315382e+00
2.190000000000001668e-01 -1.200010745635779443e+02 2.091180775073181355e-04 1.385319250335101282e+00 5.323227000928062135e-05 2.162623475295840682e-03 -2.179025561463911131e+00
2.290000000000001756e-01 -1.200010742050196342e+02 2.304068804823394118e-04 1.363005520711119578e+00 2.227261384347219327e-05 2.102603238439031304e-03 -2.274151748153473651e+00
2.390000000000001845e-01 -1.200010741250333837e+02 2.511470785722783082e-04 1.339741859865572149e+00 -2.731376852998634169e-06 2.052159762227307328e-03 -2.369076229981740944e+00
2.490000000000001934e-01 -1.200010742590790898e+02 2.714384790463559541e-04 1.315528917516278762e+00 -2.126687825658923545e-05 2.011801233207083980e-03 -2.464038963087493261e+00
2.590000000000001745e-01 -1.200010745483613590e+02 2.913791333231141893e-04 1.290365272468458890e+00 -3.455673913480808608e-05 1.980899553228926586e-03 -2.559219520036490447e+00
2.690000000000001834e-01 -1.200010749496514393e+02 3.110574013649162919e-04 1.264248043103095798e+00 -4.428800169291123969e-05 1.958276166262113999e-03 -2.654737073082186871e+00
2.790000000000001923e-01 -1.200010754357741973e+02 3.305486048868634241e-04 1.237173460231691280e+00 -5.193303320318395531e-05 1.942565569156949265e-03 -2.750656789389386958e+00
2.890000000000002012e-01 -1.200010759917776397e+02 3.499143834013758035e-04 1.209137354606778736e+00 -5.849318511925302656e-05 1.932418640290729491e-03 -2.846999709172481019e+00
2.990000000000002101e-01 -1.200010766100539570e+02 3.692034729185709714e-04 1.180135537842774252e+00 -6.449488928596260019e-05 1.926602604037612161e-03 -2.943753744436176323e+00
3.090000000000002189e-01 -1.200010772861668897e+02 3.884531237348038996e-04 1.150164075043360379e+00 -7.010475696063249960e-05 1.924040716456656931e-03 -3.040884182596335972e+00
3.190000000000002278e-01 -1.200010780160547057e+02 4.076907219558631424e-04 1.119219459692287977e+00 -7.527548924136874455e-05 1.923820164039889008e-03 -3.138342768861604792e+00
3.290000000000002367e-01 -1.200010787946191329e+02 4.269353985391126588e-04 1.087298707546038967e+00 -7.987359170715407116e-05 1.925185202903334589e-03 -3.236074974894666667e+00
3.390000000000002456e-01 -1.200010796153891022e+02 4.461995334924757158e-04 1.054399388071142418e+00 -8.376885955291350728e-05 1.927524629407720725e-03 -3.334025421912740317e+00
3.490000000000002545e-01 -1.200010804708548875e+02 4.654901244066362415e-04 1.020519611019357953e+00 -8.688357958414172203e-05 1.930357736837983590e-03 -3.432141637144789481e+00
3.590000000000002633e-01 -1.200010813531056755e+02 4.848100135793864912e-04 9.856579833263309220e-01 -8.920892377848975560e-05 1.933320182628571644e-03 -3.530376421080576588e+00
3.690000000000002722e-01 -1.200010822545009148e+02 5.041589743425625714e-04 9.498135485671033162e-01 -9.079929459803422263e-05 1.936149937423799683e-03 -3.628689126620722849e+00
3.790000000000002811e-01 -1.200010831682130288e+02 5.235346564678477251e-04 9.129857182758853718e-01 -9.175496486576178057e-05 1.938673123952580754e-03 -3.727046131124730266e+00
3.890000000000002900e-01 -1.200010840885717016e+02 5.429333888421599688e-04 8.751742018434706116e-01 -9.220121790467212370e-05 1.940789662049337717e-03 -3.825420741257188784e+00
3.990000000000002989e-01 -1.200010850112061433e+02 5.623508380163301382e-04 8.363789395659959602e-01 -9.226926465426007562e-05 1.942458851559954701e-03 -3.923792723276139593e+00
4.090000000000003078e-01 -1.200010859330202209e+02 5.817825241606534468e-04 7.966000417423280133e-01 -9.208173248307651403e-05 1.943685304316560133e-03 -4.022147606700359646e+00
4.190000000000003166e-01 -1.200010868520522820e+02 6.012242006125849501e-04 7.558377354543437399e-01 -9.174356827690591189e-05 1.944505741541324240e-03 -4.120475871113806754e+00
4.290000000000003255e-01 -1.200010877672712297e+02 6.206721085093646435e-04 7.140923197414887902e-01 -9.133777960793323307e-05 1.944977157931831969e-03 -4.218772095188947802e+00
4.390000000000003344e-01 -1.200010886783524739e+02 6.401231225883406662e-04 6.713641292248556658e-01 -9.092506309631090552e-05 1.945166759899971199e-03 -4.317034123521404254e+00
4.490000000000003433e-01 -1.200010895854646265e+02 6.595748075008003950e-04 6.276535057829984998e-01 -9.054585943876870900e-05 1.945143950758174752e-03 -4.415262288891882214e+00
4.590000000000003522e-01 -1.200010904890852856e+02 6.790254053325233893e-04 5.829607775822212012e-01 -9.022382893356787107e-05 1.944974377999342903e-03 -4.513458714203686384e+00
4.690000000000003610e-01 -1.200010913898543237e+02 6.984737746671230030e-04 5.372862445810513421e-01 -8.996970115814316167e-05 1.944715967176722680e-03 -4.611626707933326408e+00
4.790000000000003699e-01 -1.200011377387247364e+02 7.168188113545369755e-04 4.904829988376905869e-01 -1.421344196060795283e-02 1.659782076980478253e-03 -4.755079181855815129e+00
4.890000000000003788e-01 -1.200013042848050020e+02 7.551107009059900661e-04 4.432336635454185991e-01 -1.610395468457613555e-02 5.564875919927618833e-03 -4.674311402682956640e+00
4.990000000000003877e-01 -1.200014716445983538e+02 8.171968863595735879e-04 3.974261446566117462e-01 -1.747959071946330462e-02 6.637497956992876452e-03 -4.493489092446954380e+00
5.090000000000003411e-01 -1.200016729858446354e+02 8.730573386132442146e-04 3.537600964048368546e-01 -2.289391941204609038e-02 4.693309101561081269e-03 -4.253395196084063912e+00
5.190000000000003499e-01 -1.200019356570039690e+02 9.086162127076129191e-04 3.129170582634260844e-01 -2.912217945935709207e-02 2.599022713389435510e-03 -3.931168433989632671e+00
5.290000000000003588e-01 -1.200022450429178207e+02 9.263829595968949004e-04 2.759094143374304364e-01 -3.187585583328887695e-02 1.185182706405442724e-03 -3.494689227346457816e+00
5.390000000000003677e-01 -1.200025433707915994e+02 9.336119996910027113e-04 2.438791051168331392e-01 -2.775675509575685485e-02 4.026454100609290921e-04 -2.954256663886537293e+00
5.490000000000003766e-01 -1.200027641166977475e+02 9.354090156975405999e-04 2.176044101293400646e-01 -1.681361147244044008e-02 2.328334287830628735e-05 -2.354247823725965638e+00
5.590000000000003855e-01 -1.200028447182465641e+02 9.346904330910127704e-04 1.974402432133525731e-01 -7.288623256675452744e-04 -1.397356232972512581e-04 -1.740169694252365673e+00
5.690000000000003944e-01 -1.200027447290802201e+02 9.339175739324156273e-04 1.834126050383131923e-01 1.897784984038983214e-02 -6.915459873382649725e-05 -1.125987590966019525e+00
5.790000000000004032e-01 -1.200024262165745199e+02 9.346007208083305070e-04 1.755839974674997528e-01 4.279676818692518259e-02 3.106010804944500572e-04 -4.994233728278881235e-01
5.890000000000004121e-01 -1.200018484494965492e+02 9.433561789520435170e-04 1.740965598386460811e-01 7.026800346189809865e-02 1.406177930104919940e-03 1.387758638984287196e-01
5.990000000000004210e-01 -1.200009866348653702e+02 9.658669115721462296e-04 1.789677680044400310e-01 9.911098121844880149e-02 3.020455553961315202e-03 7.690619472538078316e-01
6.090000000000004299e-01 -1.199998430228692854e+02 1.005309575829046575e-03 1.899769493516545449e-01 1.263753561621952792e-01 4.657885398592485036e-03 1.365728032032600625e+00
6.190000000000004388e-01 -1.199984464106249220e+02 1.060140542963400800e-03 2.066835323031920857e-01 1.497533421433512868e-01 6.156909674111987057e-03 1.910974870661724667e+00
6.290000000000004476e-01 -1.199968498873976301e+02 1.129413071677986364e-03 2.284635966517935546e-01 1.665370843713985805e-01 7.493878041797645030e-03 2.384123931177286604e+00
6.390000000000004565e-01 -1.199951356605440083e+02 1.209451906485320893e-03 2.544784957399412462e-01 1.737644060429524018e-01 8.372673327353126124e-03 2.764122856034725739e+00
6.490000000000004654e-01 -1.199934060451320619e+02 1.296493793424203849e-03 2.837221096763072326e-01 1.707490293520139146e-01 8.877034408454390763e-03 3.040463812530477483e+00
6.590000000000004743e-01 -1.199917514178421243e+02 1.386064891676619696e-03 3.152234681323757282e-01 1.597799223728856577e-01 8.946110558178798494e-03 3.226046574509343401e+00
6.690000000000004832e-01 -1.199902455380458832e+02 1.474126744411565458e-03 3.480485254827717645e-01 1.418796730613884061e-01 8.583975291910770494e-03 3.313419279657171757e+00
6.790000000000004921e-01 -1.199889389804877879e+02 1.556362295046071495e-03 3.812255656107655377e-01 1.214023216987709236e-01 7.824220223613807812e-03 3.309707571153966743e+00
6.890000000000005009e-01 -1.199877830768367915e+02 1.621304099916597193e-03 4.139642596314268008e-01 1.123148259596475906e-01 5.251443951728511708e-03 3.234681166762389815e+00
6.990000000000005098e-01 -1.199867012123880841e+02 1.664245578167210466e-03 4.456306414695028195e-01 1.042608193075134221e-01 3.505408122876392876e-03 3.106841172009039198e+00
7.090000000000005187e-01 -1.199857029091077436e+02 1.691547141162993463e-03 4.759011412103227312e-01 9.584505479140277562e-02 2.139236288699859247e-03 2.960133754331649492e+00
7.190000000000005276e-01 -1.199847860929379806e+02 1.707828895262571102e-03 5.046682590177131722e-01 8.805171241232531698e-02 1.267439494942647826e-03 2.808930231714395376e+00
7.290000000000005365e-01 -1.199839420155044820e+02 1.717644356365530776e-03 5.319434719616216167e-01 8.120789927681974774e-02 7.580739828154108191e-04 2.661717300830288568e+00
7.390000000000005453e-01 -1.199831612802586278e+02 1.723475103275932431e-03 5.577739758188771102e-01 7.531459835308745854e-02 4.620388805778559774e-04 2.519521679335430253e+00
7.490000000000005542e-01 -1.199824341219133288e+02 1.727984564062904575e-03 5.822144540509300858e-01 7.040381306739053324e-02 4.602143717062964073e-04 2.383326657455412168e+00
7.590000000000005631e-01 -1.199817511485126431e+02 1.734100163937535126e-03 6.053319760454154430e-01 6.636831061213199767e-02 7.211162926551123280e-04 2.254298355385810471e+00
7.690000000000005720e-01 -1.199811047469040801e+02 1.743348198665403822e-03 6.271958753524327079e-01 6.299897560685913112e-02 1.078640706192696835e-03 2.131754962297835565e+00
7.790000000000005809e-01 -1.199804894569984270e+02 1.756504657373061896e-03 6.478646470825517589e-01 6.007290024915523663e-02 1.487725232256049534e-03 2.014547381105794788e+00
7.890000000000005898e-01 -1.199799019671737881e+02 1.773752131098047750e-03 6.673855442299012619e-01 5.739042799823608487e-02 1.889456140431064425e-03 1.901587404636434275e+00
7.990000000000005986e-01 -1.199793407175841082e+02 1.794784372329819976e-03 6.857959647309542772e-01 5.479859292508815205e-02 2.243904697411764314e-03 1.791987803942771240e+00
